Year,Reference area,Sex,Age,Degree of urbanisation,GeoCode,Value
2000,,,,,,58.9
2005,,,,,,56.7
2011,,,,,,44.9
2014,,,,,,39.1
2017,,,,,,38.2
2014,,Male,16 years old and over,,,33.2
2017,,Male,16 years old and over,,,31.6
2014,,Female,16 years old and over,,,35.9
2017,,Female,16 years old and over,,,34.8
2014,,Male,under 15 years old,,,44.7
2017,,Male,under 15 years old,,,44.2
2014,,Female,under 15 years old,,,44.6
2017,,Female,under 15 years old,,,44.8
2005,,,,Urban,,28.5
2011,,,,Urban,,22.1
2014,,,,Urban,,15.9
2017,,,,Urban,,15.8
2005,,,,Rural,,61.9
2011,,,,Rural,,48.7
2014,,,,Rural,,43.7
2017,,,,Rural,,43.1
2000,City of Kigali,,,,1.0,22.7
2005,City of Kigali,,,,1.0,20.8
2011,City of Kigali,,,,1.0,16.8
2014,City of Kigali,,,,1.0,20.9
2017,City of Kigali,,,,1.0,13.9
2000,Southern Province,,,,2.0,65.5
2005,Southern Province,,,,2.0,66.7
2011,Southern Province,,,,2.0,56.5
2014,Southern Province,,,,2.0,38.4
2017,Southern Province,,,,2.0,41.4
2000,Western Province,,,,3.0,62.3
2005,Western Province,,,,3.0,60.4
2011,Western Province,,,,3.0,48.4
2014,Western Province,,,,3.0,45.2
2017,Western Province,,,,3.0,47.1
2000,Northern Province,,,,4.0,64.2
2005,Northern Province,,,,4.0,60.5
2011,Northern Province,,,,4.0,42.8
2014,Northern Province,,,,4.0,45.9
2017,Northern Province,,,,4.0,42.3
2000,Eastern Province,,,,5.0,59.3
2005,Eastern Province,,,,5.0,52.1
2011,Eastern Province,,,,5.0,42.6
2014,Eastern Province,,,,5.0,38.0
2017,Eastern Province,,,,5.0,37.4
2011,Nyarugenge,,,,11.0,10.1
2014,Nyarugenge,,,,11.0,19.9
2017,Nyarugenge,,,,11.0,11.8
2011,Gasabo,,,,12.0,26.0
2014,Gasabo,,,,12.0,23.4
2017,Gasabo,,,,12.0,15.8
2011,Kicukiro,,,,13.0,8.3
2014,Kicukiro,,,,13.0,16.3
2017,Kicukiro,,,,13.0,11.4
2011,Nyanza,,,,21.0,49.8
2014,Nyanza,,,,21.0,38.0
2017,Nyanza,,,,21.0,46.5
2011,Gisagara,,,,22.0,59.4
2014,Gisagara,,,,22.0,53.3
2017,Gisagara,,,,22.0,55.6
2011,Nyaruguru,,,,23.0,61.6
2014,Nyaruguru,,,,23.0,47.9
2017,Nyaruguru,,,,23.0,52.4
2011,Huye,,,,24.0,46.6
2014,Huye,,,,24.0,32.5
2017,Huye,,,,24.0,40.2
2011,Nyamagabe,,,,25.0,73.3
2014,Nyamagabe,,,,25.0,41.5
2017,Nyamagabe,,,,25.0,48.6
2011,Ruhango,,,,26.0,60.4
2014,Ruhango,,,,26.0,37.8
2017,Ruhango,,,,26.0,38.0
2011,Muhanga,,,,27.0,53.6
2014,Muhanga,,,,27.0,30.5
2017,Muhanga,,,,27.0,32.6
2011,Kamonyi,,,,28.0,46.7
2014,Kamonyi,,,,28.0,25.9
2017,Kamonyi,,,,28.0,22.3
2011,Karongi,,,,31.0,61.7
2014,Karongi,,,,31.0,45.3
2017,Karongi,,,,31.0,52.7
2011,Rutsiro,,,,32.0,53.0
2014,Rutsiro,,,,32.0,51.4
2017,Rutsiro,,,,32.0,49.5
2011,Rubavu,,,,33.0,35.8
2014,Rubavu,,,,33.0,35.5
2017,Rubavu,,,,33.0,35.7
2011,Nyabihu,,,,34.0,28.6
2014,Nyabihu,,,,34.0,39.6
2017,Nyabihu,,,,34.0,46.8
2011,Ngororero,,,,35.0,51.9
2014,Ngororero,,,,35.0,49.6
2017,Ngororero,,,,35.0,47.7
2011,Rusizi,,,,36.0,45.0
2014,Rusizi,,,,36.0,35.1
2017,Rusizi,,,,36.0,33.5
2011,Nyamasheke,,,,37.0,63.4
2014,Nyamasheke,,,,37.0,62.0
2017,Nyamasheke,,,,37.0,69.3
2011,Rulindo,,,,41.0,42.9
2014,Rulindo,,,,41.0,48.1
2017,Rulindo,,,,41.0,54.2
2011,Gakenke,,,,42.0,56.6
2014,Gakenke,,,,42.0,42.0
2017,Gakenke,,,,42.0,34.2
2011,Musanze,,,,43.0,20.1
2014,Musanze,,,,43.0,34.9
2017,Musanze,,,,43.0,40.7
2011,Burera,,,,44.0,45.2
2014,Burera,,,,44.0,50.4
2017,Burera,,,,44.0,49.8
2011,Gicumbi,,,,45.0,49.3
2014,Gicumbi,,,,45.0,55.3
2017,Gicumbi,,,,45.0,34.7
2011,Rwamagana,,,,51.0,30.4
2014,Rwamagana,,,,51.0,25.4
2017,Rwamagana,,,,51.0,18.9
2011,Nyagatare,,,,52.0,37.8
2014,Nyagatare,,,,52.0,44.1
2017,Nyagatare,,,,52.0,44.8
2011,Gatsibo,,,,53.0,43.1
2014,Gatsibo,,,,53.0,43.8
2017,Gatsibo,,,,53.0,42.1
2011,Kayonza,,,,54.0,42.6
2014,Kayonza,,,,54.0,26.4
2017,Kayonza,,,,54.0,26.7
2011,Kirehe,,,,55.0,47.9
2014,Kirehe,,,,55.0,41.8
2017,Kirehe,,,,55.0,44.6
2011,Ngoma,,,,56.0,47.6
2014,Ngoma,,,,56.0,46.8
2017,Ngoma,,,,56.0,37.8
2011,Bugesera,,,,57.0,48.4
2014,Bugesera,,,,57.0,34.3
2017,Bugesera,,,,57.0,40.3
